iter	Passed	Remaining
0	10	10443
1	13	6606
2	15	5055
3	26	6479
4	28	5709
5	30	5098
6	32	4677
7	34	4335
8	36	4045
9	38	3819
10	40	3626
11	42	3474
12	44	3392
13	46	3271
14	49	3274
15	52	3231
16	54	3157
17	56	3096
18	59	3066
19	61	3003
20	72	3363
21	75	3375
22	87	3705
23	89	3631
24	102	3980
25	104	3901
26	106	3824
27	115	3998
28	117	3924
29	119	3860
30	121	3795
31	125	3805
32	127	3749
33	129	3693
34	132	3661
35	134	3611
36	137	3566
37	141	3580
38	143	3534
39	145	3489
40	147	3445
41	149	3401
42	150	3358
43	152	3317
44	156	3315
45	158	3276
46	159	3239
47	161	3209
48	163	3181
49	165	3147
50	167	3114
51	169	3082
52	177	3165
53	179	3137
54	181	3110
55	183	3088
56	187	3098
57	189	3076
58	191	3054
59	193	3032
60	195	3010
61	197	2989
62	206	3070
63	208	3048
64	210	3028
65	212	3008
66	218	3044
67	220	3024
68	222	3006
69	224	2987
70	226	2969
71	229	2952
72	235	2990
73	237	2972
74	239	2954
75	241	2938
76	243	2921
77	272	3224
78	286	3336
79	288	3313
80	290	3291
81	294	3299
82	296	3278
83	305	3329
84	307	3312
85	318	3389
86	321	3369
87	323	3351
88	335	3432
89	337	3414
90	339	3393
91	350	3464
92	373	3641
93	375	3618
94	377	3594
95	380	3585
96	382	3564
97	384	3542
98	386	3521
99	388	3497
100	390	3474
101	392	3456
102	394	3435
103	396	3414
104	398	3396
105	400	3377
106	402	3358
107	404	3339
108	406	3322
109	415	3363
110	417	3344
111	419	3326
112	421	3311
113	428	3327
114	430	3310
115	437	3334
116	453	3419
117	467	3496
118	469	3479
119	484	3555
120	491	3569
121	493	3552
122	495	3534
123	499	3527
124	501	3508
125	504	3496
126	506	3483
127	508	3465
128	510	3443
129	511	3426
130	513	3408
131	515	3392
132	517	3376
133	520	3366
134	522	3350
135	525	3340
136	528	3328
137	530	3312
138	532	3296
139	534	3282
140	537	3275
141	540	3268
142	543	3257
143	548	3258
144	551	3250
145	553	3235
146	554	3219
147	556	3204
148	558	3189
149	560	3175
150	562	3161
151	563	3146
152	566	3134
153	568	3120
154	569	3106
155	571	3092
156	573	3079
157	576	3070
158	578	3058
159	580	3046
160	582	3035
161	584	3023
162	586	3011
163	588	3000
164	590	2990
165	592	2977
166	594	2964
167	596	2955
168	598	2942
169	600	2930
170	601	2918
171	603	2906
172	605	2895
173	607	2883
174	609	2871
175	611	2862
176	613	2850
177	614	2839
178	616	2828
179	618	2817
180	620	2809
181	623	2800
182	625	2791
183	628	2785
184	628	2770
185	630	2760
186	632	2749
187	634	2739
188	636	2731
189	638	2723
190	640	2714
191	643	2709
192	645	2699
193	647	2691
194	650	2685
195	652	2677
196	654	2668
197	656	2658
198	658	2651
199	660	2643
200	662	2633
201	664	2624
202	666	2616
203	668	2607
204	669	2597
205	671	2588
206	674	2582
207	676	2574
208	677	2565
209	680	2558
210	682	2550
211	683	2542
212	685	2533
213	687	2525
214	689	2518
215	691	2510
216	694	2504
217	696	2496
218	698	2489
219	699	2481
220	701	2473
221	703	2464
222	705	2459
223	708	2452
224	709	2445
225	711	2437
226	713	2430
227	715	2422
228	717	2414
229	719	2407
230	721	2402
231	732	2423
232	733	2415
233	735	2407
234	738	2404
235	740	2398
236	742	2391
237	744	2384
238	747	2378
239	748	2370
240	750	2363
241	752	2357
242	754	2351
243	756	2345
244	758	2338
245	760	2331
246	762	2324
247	764	2318
248	767	2314
249	769	2307
250	770	2300
251	772	2293
252	774	2286
253	776	2280
254	778	2274
255	780	2268
256	783	2264
257	784	2257
258	786	2250
259	788	2243
260	790	2237
261	791	2230
262	793	2223
263	795	2217
264	797	2211
265	799	2207
266	801	2201
267	803	2195
268	805	2189
269	807	2183
270	809	2177
271	812	2173
272	814	2169
273	841	2230
274	844	2226
275	848	2224
276	850	2221
277	852	2215
278	854	2209
279	859	2209
280	861	2204
281	864	2199
282	865	2193
283	867	2188
284	870	2182
285	873	2179
286	875	2174
287	878	2171
288	880	2165
289	882	2159
290	883	2153
291	885	2147
292	887	2142
293	889	2137
294	892	2132
295	893	2125
296	895	2119
297	897	2113
298	899	2107
299	900	2102
300	902	2096
301	905	2091
302	906	2086
303	909	2081
304	910	2075
305	912	2070
306	914	2064
307	916	2060
308	919	2055
309	920	2049
310	924	2047
311	925	2041
312	927	2036
313	929	2031
314	931	2026
315	933	2021
316	935	2015
317	937	2010
318	941	2009
319	943	2005
320	945	2001
321	947	1995
322	949	1990
323	951	1986
324	955	1984
325	958	1981
326	961	1978
327	963	1973
328	965	1968
329	967	1963
330	969	1959
331	971	1954
332	973	1949
333	975	1944
334	977	1939
335	978	1934
336	980	1929
337	982	1923
338	984	1918
339	986	1914
340	988	1910
341	990	1905
342	992	1901
343	994	1896
344	996	1891
345	998	1887
346	1000	1882
347	1002	1877
348	1004	1872
349	1005	1867
350	1007	1863
351	1009	1858
352	1010	1852
353	1012	1848
354	1014	1843
355	1017	1840
356	1020	1837
357	1022	1833
358	1024	1829
359	1026	1825
360	1028	1821
361	1031	1818
362	1033	1813
363	1035	1809
364	1039	1807
365	1041	1804
366	1043	1800
367	1045	1795
368	1048	1792
369	1050	1789
370	1052	1784
371	1054	1779
372	1057	1776
373	1062	1778
374	1064	1774
375	1067	1771
376	1069	1767
377	1072	1764
378	1073	1759
379	1077	1757
380	1078	1752
381	1080	1748
382	1082	1743
383	1084	1739
384	1087	1736
385	1091	1735
386	1093	1731
387	1095	1727
388	1096	1723
389	1098	1718
390	1100	1714
391	1102	1709
392	1104	1705
393	1107	1702
394	1108	1698
395	1110	1694
396	1112	1689
397	1114	1685
398	1116	1681
399	1118	1678
400	1123	1678
401	1126	1675
402	1127	1670
403	1129	1666
404	1131	1662
405	1134	1660
406	1140	1661
407	1142	1657
408	1144	1653
409	1146	1649
410	1149	1646
411	1150	1642
412	1153	1638
413	1155	1636
414	1158	1632
415	1160	1628
416	1162	1625
417	1164	1621
418	1166	1617
419	1168	1613
420	1170	1609
421	1172	1605
422	1174	1601
423	1176	1597
424	1177	1593
425	1179	1589
426	1181	1585
427	1183	1581
428	1185	1577
429	1186	1573
430	1188	1569
431	1190	1565
432	1193	1562
433	1197	1562
434	1200	1559
435	1202	1555
436	1204	1551
437	1206	1547
438	1207	1543
439	1208	1538
440	1210	1534
441	1212	1530
442	1215	1527
443	1216	1523
444	1218	1519
445	1221	1516
446	1224	1514
447	1226	1511
448	1228	1507
449	1231	1505
450	1233	1501
451	1235	1498
452	1238	1495
453	1240	1491
454	1242	1487
455	1243	1484
456	1246	1481
457	1249	1478
458	1251	1474
459	1253	1471
460	1255	1467
461	1257	1464
462	1258	1460
463	1261	1457
464	1264	1454
465	1266	1451
466	1268	1447
467	1270	1444
468	1272	1440
469	1274	1436
470	1275	1433
471	1278	1430
472	1281	1427
473	1282	1423
474	1284	1419
475	1286	1416
476	1288	1412
477	1290	1408
478	1293	1407
479	1296	1404
480	1297	1400
481	1299	1396
482	1301	1392
483	1302	1389
484	1304	1385
485	1306	1381
486	1309	1379
487	1311	1376
488	1313	1372
489	1315	1368
490	1316	1365
491	1318	1361
492	1320	1358
493	1325	1357
494	1327	1354
495	1329	1350
496	1331	1347
497	1333	1344
498	1335	1340
499	1338	1338
500	1340	1334
501	1342	1331
502	1343	1327
503	1345	1324
504	1347	1321
505	1350	1318
506	1352	1314
507	1357	1314
508	1360	1312
509	1362	1309
510	1364	1305
511	1366	1302
512	1368	1298
513	1370	1295
514	1371	1291
515	1373	1287
516	1375	1284
517	1377	1281
518	1379	1278
519	1381	1275
520	1383	1272
521	1386	1269
522	1387	1265
523	1389	1262
524	1391	1258
525	1393	1255
526	1395	1252
527	1396	1248
528	1398	1245
529	1400	1242
530	1402	1238
531	1404	1235
532	1406	1231
533	1407	1228
534	1409	1225
535	1411	1221
536	1412	1218
537	1414	1214
538	1416	1211
539	1418	1208
540	1420	1204
541	1421	1201
542	1424	1198
543	1426	1195
544	1427	1192
545	1429	1188
546	1434	1187
547	1436	1184
548	1438	1181
549	1440	1178
550	1442	1175
551	1444	1172
